path_example,size_mb,age_days,unused_days,extension,is_cache,is_temp,is_log,is_hidden,is_protected,is_user_data,label
~/.cache/google-chrome/Cache_Data/f_000123,850,120,95,,1,0,0,1,0,0,CLEAN
~/.cache/mozilla/firefox/cache2/entries/A1B2C3,620,200,180,,1,0,0,1,0,0,CLEAN
~/.cache/pip/wheels/ab/cd/ef/package.whl,45,300,290,.whl,1,0,0,1,0,0,CLEAN
~/.npm/_cacache/content-v2/sha512/ab/cd,110,150,140,,1,0,0,1,0,0,CLEAN
~/project/node_modules/.cache/babel-loader/abc123,75,60,55,,1,0,0,1,0,0,CLEAN
~/Pictures/.thumbnails/normal/abcdef123.png,12,400,380,.png,1,0,0,1,0,0,CLEAN
~/repo/build/__pycache__/module.cpython-311.pyc,18,90,85,.pyc,1,0,0,0,0,0,CLEAN
~/.local/share/Trash/files/old_report.pdf,22,45,44,.pdf,1,0,0,0,0,0,CLEAN
~/Downloads/installer_setup.tmp,300,10,10,.tmp,0,1,0,0,0,0,CLEAN
~/Downloads/partial_video.part,1200,25,24,.part,0,1,0,0,0,0,CLEAN
~/project/editor_backup~.bak,5,500,480,.bak,0,1,0,0,0,0,CLEAN
~/notes/draft.txt.swp,2,15,14,.swp,0,1,0,1,0,0,CLEAN
~/config/settings.old,8,600,590,.old,0,1,0,0,0,0,CLEAN
/var/log/syslog.1.gz,340,95,90,.gz,0,0,1,0,0,0,CLEAN
/var/log/nginx/access.log.old,900,180,170,.log,0,0,1,0,0,0,CLEAN
~/app/logs/debug-2023-01-01.log,450,700,690,.log,0,0,1,0,0,0,CLEAN
/var/cache/apt/archives/libfoo_1.2.deb,60,220,210,.deb,1,0,0,0,0,0,CLEAN
~/.cache/JetBrains/IntelliJIdea/caches/index.tmp,700,80,75,.tmp,1,1,0,1,0,0,CLEAN
~/Videos/screen_recording_temp.mkv,2100,3,3,.mkv,0,1,0,0,0,0,REVIEW
/var/log/auth.log,25,5,1,.log,0,0,1,0,0,0,KEEP
~/app/logs/current.log,60,1,0,.log,0,0,1,0,0,0,KEEP
~/Documents/thesis_final.docx,15,3,1,.docx,0,0,0,0,0,1,KEEP
~/Documents/taxes/2015_return.pdf,4,1500,1400,.pdf,0,0,0,0,0,1,REVIEW
~/Pictures/vacation_2022/beach.jpg,18,900,850,.jpg,0,0,0,0,0,1,REVIEW
~/Pictures/family/newborn.png,22,10,2,.png,0,0,0,0,0,1,KEEP
~/Videos/wedding_full.mp4,4500,600,580,.mp4,0,0,0,0,0,1,REVIEW
~/Music/collection/album_track01.flac,35,365,300,.flac,0,0,0,0,0,1,REVIEW
~/Desktop/important_shortcut.desktop,1,200,5,.desktop,0,0,0,0,0,1,KEEP
~/Projects/big-repo/.git/objects/pack/pack-abc.pack,600,120,100,.pack,0,0,0,1,0,1,REVIEW
~/Projects/thesis-data/raw_dataset.csv,3200,400,380,.csv,0,0,0,0,0,1,REVIEW
~/Documents/contract_signed.pdf,6,45,3,.pdf,0,0,0,0,0,1,KEEP
/etc/nginx/nginx.conf,1,800,50,.conf,0,0,0,0,1,0,KEEP
/boot/vmlinuz-5.15.0-generic,9,365,365,,0,0,0,0,1,0,KEEP
/usr/lib/x86_64-linux-gnu/libssl.so.3,3,900,900,.so,0,0,0,0,1,0,KEEP
/var/lib/docker/overlay2/abc123/diff/layer.tar,1800,100,90,.tar,0,0,0,0,1,0,KEEP
/root/.bash_history,1,50,0,,0,0,0,1,1,0,KEEP
~/.ssh/id_rsa,1,700,10,,0,0,0,1,0,0,KEEP
~/.bashrc,1,600,30,,0,0,0,1,0,0,KEEP
~/VirtualBox VMs/ubuntu/ubuntu-disk.vdi,15000,500,470,.vdi,0,0,0,0,0,0,REVIEW
~/Downloads/ubuntu-22.04-desktop-amd64.iso,4700,250,240,.iso,0,0,0,0,0,0,CLEAN
~/Downloads/old_conference_slides.pptx,40,400,395,.pptx,0,0,0,0,0,0,CLEAN
~/Downloads/resume_v3_final.pdf,2,20,2,.pdf,0,0,0,0,0,0,KEEP
~/Downloads/random_archive.zip,900,650,640,.zip,0,0,0,0,0,0,CLEAN
~/games/steamapps/shadercache/game/1234.tmp,500,40,35,.tmp,1,1,0,0,0,0,CLEAN
~/.config/Slack/Cache/data_1,300,60,55,,1,0,0,1,0,0,CLEAN
~/.config/discord/Cache/data_2,180,90,85,,1,0,0,1,0,0,CLEAN
~/AppData/Local/Temp/tmp8f3a2b.tmp,20,5,5,.tmp,0,1,0,0,0,0,CLEAN
~/crashdumps/app.core,600,200,200,.core,0,1,0,0,0,0,CLEAN
~/backups/mailbox_export.pst,2200,800,700,.pst,0,0,0,0,0,0,REVIEW
~/Documents/photos_backup_duplicate.zip,3000,300,295,.zip,0,0,0,0,0,1,REVIEW
~/school/notes_sem1.pdf,10,300,10,.pdf,0,0,0,0,0,1,KEEP
~/Projects/old-side-project/dist/bundle.min.js,4,700,680,.js,0,0,0,0,0,1,REVIEW
~/.cache/yarn/v6/npm-package-1.2.3,30,180,170,,1,0,0,1,0,0,CLEAN
/tmp/systemd-private-abc/tmp.XXXXXX,50,2,2,,0,1,0,1,0,0,CLEAN
~/Downloads/screenshot_2021_04_01.png,3,900,880,.png,0,0,0,0,0,0,CLEAN
~/Pictures/screenshots/screenshot_today.png,3,0,0,.png,0,0,0,0,0,1,KEEP
~/dev/venv/lib/python3.11/site-packages/pkg/data.bin,25,150,140,.bin,0,0,0,0,0,0,REVIEW
~/audiobooks/book_chapter_01.mp3,80,500,450,.mp3,0,0,0,0,0,0,REVIEW
~/Downloads/setup_wizard_leftover.tmp,15,60,58,.tmp,0,1,0,0,0,0,CLEAN
/var/crash/_usr_bin_app.crash,90,120,115,.crash,0,0,0,0,0,0,CLEAN
